Ali	1006	Comm & Presentation Skills Lab(CS-F2)		Pakistan Studies(CS-F)	Tuesday(15:30)
Ali	1043	Comm & Presentation Skills Lab(CS-F2)		Pakistan Studies(CS-F)	Tuesday(15:30)
Ali	1051	Comm & Presentation Skills Lab(CS-F2)		Pakistan Studies(CS-F)	Tuesday(15:30)
Ali	1059	Calculus and Ana. Geometry(CS-G)		Object Oriented Programming(CS-E)	Wednesday(11:0)
Ali	1114	Comm & Presentation Skills Lab(CS-F2)		Pakistan Studies(CS-F)	Tuesday(15:30)
Ali	1126	Comm & Presentation Skills Lab(CS-F2)		Pakistan Studies(CS-F)	Tuesday(15:30)
Ali	1135	Comm & Presentation Skills Lab(CS-A2)		Pakistan Studies(CS-D)	Tuesday(12:30)
Ali	1151	Comm & Presentation Skills Lab(CS-A2)		Pakistan Studies(CS-D)	Tuesday(12:30)
Ali	1156	Comm & Presentation Skills Lab(CS-F2)		Pakistan Studies(CS-F)	Tuesday(15:30)
Ali	1163	Comm & Presentation Skills Lab(CS-F2)		Pakistan Studies(CS-F)	Tuesday(15:30)
Ali	1170	Comm & Presentation Skills Lab(CS-F2)		Pakistan Studies(CS-F)	Tuesday(15:30)
Ali	1171	Comm & Presentation Skills Lab(CS-F2)		Pakistan Studies(CS-F)	Tuesday(15:30)
Ali	1179	Comm & Presentation Skills Lab(CS-F2)		Pakistan Studies(CS-F)	Tuesday(15:30)
Ali	1187	Comm & Presentation Skills Lab(CS-F1)		Digital Logic Design(CS-A)	Monday(9:30)
Ali	1187	Comm & Presentation Skills Lab(CS-F1)		Pakistan Studies(CS-A)	Friday(8:0)
Ali	1256	Comm & Presentation Skills Lab(CS-F2)		Pakistan Studies(CS-F)	Tuesday(15:30)
Ali	1271	Digital Logic Design(CS-H)		Digital Logic Design Lab(CS-G2)	Tuesday(12:30)
